Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
Blue Seed Bbd-S19 Wireless Earbuds 5.0 Headsets Dual Ea...,Blue,Black, True Wireless,3.6,45,662,299,363
Tvat High Bass Isolated Earphone Wired Headset,Tvat,White, In the Ear,3.9,55,147,299,152
Unix Super Bass Metal Dynamic Wired Headset,Unix,Black, In the Ear,4,6102,141,299,158
Zebronics Zeb-Bro+ Extra Heavy Bass Earphone Wired Head...,Zebronics,Black, In the Ear,4,1017189,228,349,121
Amj Wireless Magnet Bluetooth Earphonesports For Runnin...,Amj,Black, In the Ear,4,3,139,349,210
Hitage Round I Like Metal Earphone Earphone With One Ke...,Hitage,Black Metal, In the Ear,3.5,129,129,349,220
Hitage Round I Like Metal Earphone Earphone With One Ke...,Hitage,Black Metal, In the Ear,4,333036,129,349,220
Para In-Ear Wired Earphones With Mic Wired Headset(Cyan...,Para,Cyan, In the Ear,3.8,48,179,399,220
Hitage 11 Best Bass Clear Sound Wired Headset,Hitage,White, In the Ear,4.2,52,109,399,290
N2B Magnet-02 Pack Of 2 Bluetooth Headset,N2B,Black, True Wireless,3.8,89,254,399,145
Kk2 Ear Headphone For Compatible To All Android Mobile ...,Kk2,White, In the Ear,3.8,175,156,399,243
Axyro Ar-7-Single-White-210 Bluetooth Headset,Axyro,White, Steel,3.3,716,167,399,232
Kawl Ep61_Wt_Wired Earphones_With Hd Microphone Wired H...,Kawl,White, In the Ear,4,819,88,399,311
Zebronics Zeb-Corolla Wired Headset,Zebronics,Black, In the Ear,3.5,2649,199,399,200
Nirum Sports Handsfree Hbs 730 Wireless Dual Connect He...,Nirum,Black, In the Ear,3.8,2696,220,399,179
Mj Hub -730 Headphone Wireless Music Crystal Clear Ster...,Mj,Black, In the Ear,4,2834,220,399,179
Zebronics Zeb-Corolla Wired Headset,Zebronics,Black, In the Ear,3.6,8279,199,399,200
Ubon Ub-720 Inline Wired Earphone Wired Headset,Ubon,Black, In the Ear,3.5,8889,179,399,220
Philips She1505Bk/94 Rich Bass Wired Headset,Philips,Black, In the Ear,4.1,20960,299,399,100
Ucool Elitesport 50 Hours Playtime Wireless Neckband Ea...,Ucool,Black, Grey,4.1,82872,749,399,350
Electmart Original Earphone Deep Bass On Mobile Wired H...,Electmart,White, In the Ear,3.7,31,223,449,226
Catbull Truewireless Headphone Bluetooth Headset Blueto...,Catbull,Black, In the Ear,3.8,247,135,449,314
Microbots I7S Single Ear Bluetooth Best Quality For All...,Microbots,White, True Wireless,3.6,72,125,499,374
"Catbull Kaju Bluetooth Earpiece, Mini S530 Bluetooth He...",Catbull,Black, True Wireless,3.6,89,127,499,372
Odio Owe11 The Moksha Series(Aqua Blue) Wired Headset,Odio,Blue, In the Ear,4.1,257,249,499,250
Tiitan S11 Wired Headset,Tiitan,Black, In the Ear,4.1,404,106,499,393
Fier Headset In Ear Earphone Bluetooth Headset,Fier,White, In the Ear,3.5,1043,155,499,344
"Noise Air Buds Pro With Active Noise Cancellation, Quad...",Noise,Pearl White, True Wireless,3.7,1582,2999,499,2500
Catbull In-Ear Bluetooth Headset,Catbull,Black, True Wireless,3.6,1904,130,499,369
Fier Fgn-K1W-02 Bluetooth Headset Bluetooth Without Mic...,Fier,White, In the Ear,4,2834,151,499,348
Enacfire E60 Bullets Wireless Z Bass Edition Neckband H...,Enacfire,Reverb black, In the Ear,4,6245,599,499,100
Catbull Wireless Sports Bluetooth Magnet Earphone Hands...,Catbull,Red, In the Ear,3.7,6288,132,499,367
Boult Audio Airbass Xpods Tws Earbuds With 20H Playtime...,Boult,Black, True Wireless,3.5,573,1299,500,799
Samsung Uflex Headphone Wired Headset,Samsung,White, In the Ear,3.9,35280,220,500,280
Arhub A1 Bluetooth O For Viv_O/Hono_R/Sam_Sung/Ios/Op_P...,Arhub,Black, True Wireless,5,143219,225,599,374
Arhub A1 Bluetooth O For Viv_O/Hono_R/Sam_Sung/Ios/Op_P...,Arhub,Black, True Wireless,3,713278,225,599,374
Tiitan S11 Wired Headset,Tiitan,Black, In the Ear,3.7,3,106,599,493
Portronics Por-1070 Conch Gama Wired Headset,Portronics,Red, In the Ear,3.5,55,249,599,350
Hey For Fier Bluetooth Headset Bluetooth Without Mic He...,Hey,White, In the Ear,3.3,119,160,599,439
Wow Wireless Basic Wired Headset With Noice Cancellatio...,Wow,Blue, In the Ear,3.7,197,235,599,364
Fier Sports Bluetooth Magnet Headset Bluetooth Headset ...,Fier,Black, In the Ear,3.9,292,168,599,431
Rjfuture Rml Neckband Bluetooth Headset,Rjfuture,Black, Yellow,3.8,427,219,599,380
Callmate Airbolt Pro (Tws Buds) With Bass Earbuds | Ipx...,Callmate,Black, Silver,3.8,631,999,599,400
Fier Fgn-Mgnet-B2 Bluetooth Headset Bluetooth Headset,Fier,Black, In the Ear,3.7,674,158,599,441
Brd Bluetoothheadset-A29 Bluetooth Headset,Brd,White, True Wireless,3.6,980,199,599,400
Fier Sports Bluetooth Magnet Headset Bluetooth Headset ...,Fier,Black, In the Ear,3.6,1318,168,599,431
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4,2834,533,599,66
Kdm M-8 Wired Headset,Kdm,Black, Silver,3.5,3703,249,599,350
Portronics Por-1071 Conch Beta Wired Headset,Portronics,Black, In the Ear,4.1,9930,229,599,370
Redmi By Mi Hi-Resolution Audio Wired Headset,Redmi,Red, In the Ear,3.9,13327,399,599,200
Realme Buds 2 Neo With Hd Mic Wired Headset,Realme,Blue, In the Ear,3.5,20079,499,599,100
Altronics High Bass Universal Wired Earphone Mic For V1...,Altronics,White, In the Ear,4,41082,299,599,300
Icall Bbd-S650 One Side Earbuds (With Charging Cable) B...,Icall,Black, True Wireless,4.2,74477,208,599,391
Redmi By Mi Hi-Resolution Audio Wired Headset,Redmi,Black, In the Ear,4.2,74477,399,599,200
Zinux Cyan 3.5Mm Headphone With In-Line Mic For Hi-Fi A...,Zinux,Blue, Multicolor,3.9,221939,148,599,451
Fier Rrt-Magnet-3 Bluetooth Headset Bluetooth Headset,Fier,Black, In the Ear,4,333036,167,599,432
Mi Basic Wired Headset,Mi,Blue, Black,4.3,712789,429,599,170
Mi Basic Wired Headset With Mic,Mi,Black, In the Ear,4.3,712789,429,599,170
Kk2 Single-Side Talking K1 Lightweight Wireless Bluetoo...,Kk2,Black, True Wireless,4.2,35,186,689,503
Sony Wi-C200 Bluetooth Headset,Sony,Black, In the Ear,4,35,2069,699,1370
Amj Hbs_730Bluetooth Bluetooth Headset,Amj,Black, In the Ear,3.5,140,220,699,479
Catbull Magnetic_Bt In-Ear Bluetooth Headsets Bluetooth...,Catbull,Black, In the Ear,3.9,246,132,699,567
Catbull In-Ear Bluetooth Headsets Bluetooth Headset,Catbull,Black, In the Ear,3.6,1318,130,699,569
